# Neutrino-Ar40 nc cross section (10^-38 cm^2/GeV, natural abundance) # 
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar # 

-5.2673492e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-5.2492166e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-5.231406e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-5.2139077e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-5.1967106e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-5.179804e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-5.1631784e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-5.1468244e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-5.130734e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-5.114898e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-5.0993094e+00   1.2495938e-04   1.2495938e-04   1.2495938e-04   1.2495938e-04   1.2495938e-04   1.2495938e-04
-5.08396e+00   5.037156e-04   5.037156e-04   5.037156e-04   5.037156e-04   5.037156e-04   5.037156e-04
-5.0688424e+00   8.824718e-04   8.824718e-04   8.824718e-04   8.824718e-04   8.824718e-04   8.824718e-04
-5.05395e+00   1.261228e-03   1.261228e-03   1.261228e-03   1.261228e-03   1.261228e-03   1.261228e-03
-5.039276e+00   1.6399842e-03   1.6399842e-03   1.6399842e-03   1.6399842e-03   1.6399842e-03   1.6399842e-03
-5.0248146e+00   2.0187404e-03   2.0187404e-03   2.0187404e-03   2.0187404e-03   2.0187404e-03   2.0187404e-03
-5.010559e+00   2.3974965e-03   2.3974965e-03   2.3974965e-03   2.3974965e-03   2.3974965e-03   2.3974965e-03
-4.996504e+00   2.7762528e-03   2.7762528e-03   2.7762528e-03   2.7762528e-03   2.7762528e-03   2.7762528e-03
-4.9826436e+00   3.155009e-03   3.155009e-03   3.155009e-03   3.155009e-03   3.155009e-03   3.155009e-03
-4.9689727e+00   3.5337652e-03   3.5337652e-03   3.5337652e-03   3.5337652e-03   3.5337652e-03   3.5337652e-03
-4.9554863e+00   3.9125215e-03   3.9125215e-03   3.9125215e-03   3.9125215e-03   3.9125215e-03   3.9125215e-03
-4.942179e+00   4.2912774e-03   4.2912774e-03   4.2912774e-03   4.2912774e-03   4.2912774e-03   4.2912774e-03
-4.929047e+00   4.6700337e-03   4.6700337e-03   4.6700337e-03   4.6700337e-03   4.6700337e-03   4.6700337e-03
-4.9160852e+00   5.04879e-03   5.04879e-03   5.04879e-03   5.04879e-03   5.04879e-03   5.04879e-03
-4.903289e+00   5.4275463e-03   5.4275463e-03   5.4275463e-03   5.4275463e-03   5.4275463e-03   5.4275463e-03
-4.8906546e+00   5.806302e-03   5.806302e-03   5.806302e-03   5.806302e-03   5.806302e-03   5.806302e-03
-4.8781776e+00   6.1850585e-03   6.1850585e-03   6.1850585e-03   6.1850585e-03   6.1850585e-03   6.1850585e-03
-4.8658547e+00   6.563815e-03   6.563815e-03   6.563815e-03   6.563815e-03   6.563815e-03   6.563815e-03
-4.8536816e+00   6.8853977e-03   6.8853977e-03   6.8853977e-03   6.8853977e-03   6.8853977e-03   6.8853977e-03
-4.841655e+00   6.815445e-03   6.815445e-03   6.815445e-03   6.815445e-03   6.815445e-03   6.815445e-03
-4.829771e+00   6.745493e-03   6.745493e-03   6.745493e-03   6.745493e-03   6.745493e-03   6.745493e-03
-4.818027e+00   6.6755405e-03   6.6755405e-03   6.6755405e-03   6.6755405e-03   6.6755405e-03   6.6755405e-03
-4.806419e+00   6.605588e-03   6.605588e-03   6.605588e-03   6.605588e-03   6.605588e-03   6.605588e-03
-4.7949443e+00   6.535636e-03   6.535636e-03   6.535636e-03   6.535636e-03   6.535636e-03   6.535636e-03
-4.7836e+00   6.465683e-03   6.465683e-03   6.465683e-03   6.465683e-03   6.465683e-03   6.465683e-03
-4.7723827e+00   6.395731e-03   6.395731e-03   6.395731e-03   6.395731e-03   6.395731e-03   6.395731e-03
-4.76129e+00   6.3257786e-03   6.3257786e-03   6.3257786e-03   6.3257786e-03   6.3257786e-03   6.3257786e-03
-4.750319e+00   6.255826e-03   6.255826e-03   6.255826e-03   6.255826e-03   6.255826e-03   6.255826e-03
-4.739467e+00   6.185874e-03   6.185874e-03   6.185874e-03   6.185874e-03   6.185874e-03   6.185874e-03
-4.7287316e+00   6.1159213e-03   6.1159213e-03   6.1159213e-03   6.1159213e-03   6.1159213e-03   6.1159213e-03
-4.71811e+00   6.045969e-03   6.045969e-03   6.045969e-03   6.045969e-03   6.045969e-03   6.045969e-03
-4.7076e+00   5.9760166e-03   5.9760166e-03   5.9760166e-03   5.9760166e-03   5.9760166e-03   5.9760166e-03
-4.6971993e+00   5.906064e-03   5.906064e-03   5.906064e-03   5.906064e-03   5.906064e-03   5.906064e-03
-4.686906e+00   5.836112e-03   5.836112e-03   5.836112e-03   5.836112e-03   5.836112e-03   5.836112e-03
-4.6767173e+00   5.7661594e-03   5.7661594e-03   5.7661594e-03   5.7661594e-03   5.7661594e-03   5.7661594e-03
-4.6666317e+00   5.696207e-03   5.696207e-03   5.696207e-03   5.696207e-03   5.696207e-03   5.696207e-03
-4.6566463e+00   5.6262547e-03   5.6262547e-03   5.6262547e-03   5.6262547e-03   5.6262547e-03   5.6262547e-03
-4.64676e+00   5.556302e-03   5.556302e-03   5.556302e-03   5.556302e-03   5.556302e-03   5.556302e-03
-4.6369705e+00   5.48635e-03   5.48635e-03   5.48635e-03   5.48635e-03   5.48635e-03   5.48635e-03
-4.6272755e+00   5.4163975e-03   5.4163975e-03   5.4163975e-03   5.4163975e-03   5.4163975e-03   5.4163975e-03
-4.617674e+00   5.346445e-03   5.346445e-03   5.346445e-03   5.346445e-03   5.346445e-03   5.346445e-03
-4.608164e+00   5.4100933e-03   5.4100933e-03   5.4100933e-03   5.4100933e-03   5.4100933e-03   5.4100933e-03
-4.598743e+00   5.4817996e-03   5.4817996e-03   5.4817996e-03   5.4817996e-03   5.4817996e-03   5.4817996e-03
-4.5894103e+00   5.5535063e-03   5.5535063e-03   5.5535063e-03   5.5535063e-03   5.5535063e-03   5.5535063e-03
-4.5801635e+00   5.6252126e-03   5.6252126e-03   5.6252126e-03   5.6252126e-03   5.6252126e-03   5.6252126e-03
