# Neutrino-Ar40 nc cross section (10^-38 cm^2/GeV, natural abundance) # 
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar # 

-4.749735686442412   2.067631939409842e-05   2.067631939409842e-05   2.067631939409842e-05   2.067631939409842e-05   2.067631939409842e-05   2.067631939409842e-05
-4.739061782762493   2.633833997512616e-05   2.633833997512616e-05   2.633833997512616e-05   2.633833997512616e-05   2.633833997512616e-05   2.633833997512616e-05
-4.728500609092067   3.2000360556153786e-05   3.2000360556153786e-05   3.2000360556153786e-05   3.2000360556153786e-05   3.2000360556153786e-05   3.2000360556153786e-05
-4.718049809150006   3.766238113718152e-05   3.766238113718152e-05   3.766238113718152e-05   3.766238113718152e-05   3.766238113718152e-05   3.766238113718152e-05
-4.707707099768171   4.3324401718209256e-05   4.3324401718209256e-05   4.3324401718209256e-05   4.3324401718209256e-05   4.3324401718209256e-05   4.3324401718209256e-05
-4.697470267897521   4.898642229923699e-05   4.898642229923699e-05   4.898642229923699e-05   4.898642229923699e-05   4.898642229923699e-05   4.898642229923699e-05
-4.687337167765924   5.464844288026472e-05   5.464844288026472e-05   5.464844288026472e-05   5.464844288026472e-05   5.464844288026472e-05   5.464844288026472e-05
-4.67730571817852   6.031046346129246e-05   6.031046346129246e-05   6.031046346129246e-05   6.031046346129246e-05   6.031046346129246e-05   6.031046346129246e-05
-4.667373899952153   7.29195571773161e-05   7.29195571773161e-05   7.29195571773161e-05   7.29195571773161e-05   7.29195571773161e-05   7.29195571773161e-05
-4.657539753475971   9.084528849665293e-05   9.084528849665293e-05   9.084528849665293e-05   9.084528849665293e-05   9.084528849665293e-05   9.084528849665293e-05
-4.647801376390789   0.00010877101981599012   0.00010877101981599012   0.00010877101981599012   0.00010877101981599012   0.00010877101981599012   0.00010877101981599012
-4.638156921380384   0.0001266967511353273   0.0001266967511353273   0.0001266967511353273   0.0001266967511353273   0.0001266967511353273   0.0001266967511353273
-4.6286045940682685   0.00014462248245466447   0.00014462248245466447   0.00014462248245466447   0.00014462248245466447   0.00014462248245466447   0.00014462248245466447
-4.619142651013985   0.00016254821377400164   0.00016254821377400164   0.00016254821377400164   0.00016254821377400164   0.00016254821377400164   0.00016254821377400164
-4.609769397803297   0.00018047394509333883   0.00018047394509333883   0.00018047394509333883   0.00018047394509333883   0.00018047394509333883   0.00018047394509333883
-4.600483187227068   0.00019839967641267602   0.00019839967641267602   0.00019839967641267602   0.00019839967641267602   0.00019839967641267602   0.00019839967641267602
-4.59128241754392   0.00021632540773201285   0.00021632540773201285   0.00021632540773201285   0.00021632540773201285   0.00021632540773201285   0.00021632540773201285
-4.582165530822082   0.00023425113905135004   0.00023425113905135004   0.00023425113905135004   0.00023425113905135004   0.00023425113905135004   0.00023425113905135004
-4.57313101135616   0.0002521768703706872   0.0002521768703706872   0.0002521768703706872   0.0002521768703706872   0.0002521768703706872   0.0002521768703706872
-4.564177384154768   0.0002701026016900244   0.0002701026016900244   0.0002701026016900244   0.0002701026016900244   0.0002701026016900244   0.0002701026016900244
-4.55530321349529   0.0002880283330093616   0.0002880283330093616   0.0002880283330093616   0.0002880283330093616   0.0002880283330093616   0.0002880283330093616
-4.546507101542183   0.00028888197218700066   0.00028888197218700066   0.00028888197218700066   0.00028888197218700066   0.00028888197218700066   0.00028888197218700066
-4.537787687025531   0.0002867160576525026   0.0002867160576525026   0.0002867160576525026   0.0002867160576525026   0.0002867160576525026   0.0002867160576525026
-4.529143643976723   0.0002845501431180045   0.0002845501431180045   0.0002845501431180045   0.0002845501431180045   0.0002845501431180045   0.0002845501431180045
