# Neutrino-Ar40 nc cross section (10^-38 cm^2/GeV, natural abundance) # 
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar # 

-2.1559963e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-2.150258e+00   -1.454259e-05   -1.454259e-05   -1.454259e-05   -1.454259e-05   -1.454259e-05   -1.454259e-05
-2.144595e+00   -2.908518e-05   -2.908518e-05   -2.908518e-05   -2.908518e-05   -2.908518e-05   -2.908518e-05
-2.1390045e+00   -4.362777e-05   -4.362777e-05   -4.362777e-05   -4.362777e-05   -4.362777e-05   -4.362777e-05
-2.133485e+00   -5.817036e-05   -5.817036e-05   -5.817036e-05   -5.817036e-05   -5.817036e-05   -5.817036e-05
-2.128035e+00   -7.271295e-05   -7.271295e-05   -7.271295e-05   -7.271295e-05   -7.271295e-05   -7.271295e-05
-2.1226525e+00   -8.725554e-05   -8.725554e-05   -8.725554e-05   -8.725554e-05   -8.725554e-05   -8.725554e-05
-2.117336e+00   -1.01798134e-04   -1.01798134e-04   -1.01798134e-04   -1.01798134e-04   -1.01798134e-04   -1.01798134e-04
-2.1120837e+00   -1.1634072e-04   -1.1634072e-04   -1.1634072e-04   -1.1634072e-04   -1.1634072e-04   -1.1634072e-04
-2.106894e+00   -1.3088332e-04   -1.3088332e-04   -1.3088332e-04   -1.3088332e-04   -1.3088332e-04   -1.3088332e-04
-2.1017659e+00   -1.454259e-04   -1.454259e-04   -1.454259e-04   -1.454259e-04   -1.454259e-04   -1.454259e-04
-2.0966973e+00   -1.5996849e-04   -1.5996849e-04   -1.5996849e-04   -1.5996849e-04   -1.5996849e-04   -1.5996849e-04
-2.0916874e+00   -1.7451108e-04   -1.7451108e-04   -1.7451108e-04   -1.7451108e-04   -1.7451108e-04   -1.7451108e-04
-2.0867348e+00   -1.4877989e-04   -1.4877989e-04   -1.4877989e-04   -1.4877989e-04   -1.4877989e-04   -1.4877989e-04
-2.0818377e+00   -2.1131327e-05   -2.1131327e-05   -2.1131327e-05   -2.1131327e-05   -2.1131327e-05   -2.1131327e-05
-2.0769954e+00   1.06517226e-04   1.06517226e-04   1.06517226e-04   1.06517226e-04   1.06517226e-04   1.06517226e-04
-2.0722063e+00   2.3416578e-04   2.3416578e-04   2.3416578e-04   2.3416578e-04   2.3416578e-04   2.3416578e-04
-2.0674696e+00   3.6181434e-04   3.6181434e-04   3.6181434e-04   3.6181434e-04   3.6181434e-04   3.6181434e-04
-2.062784e+00   4.8946287e-04   4.8946287e-04   4.8946287e-04   4.8946287e-04   4.8946287e-04   4.8946287e-04
-2.0581484e+00   6.1711145e-04   6.1711145e-04   6.1711145e-04   6.1711145e-04   6.1711145e-04   6.1711145e-04
-2.0535617e+00   7.4476e-04   7.4476e-04   7.4476e-04   7.4476e-04   7.4476e-04   7.4476e-04
-2.049023e+00   8.7240856e-04   8.7240856e-04   8.7240856e-04   8.7240856e-04   8.7240856e-04   8.7240856e-04
-2.044531e+00   1.0000571e-03   1.0000571e-03   1.0000571e-03   1.0000571e-03   1.0000571e-03   1.0000571e-03
-2.0400853e+00   1.1277057e-03   1.1277057e-03   1.1277057e-03   1.1277057e-03   1.1277057e-03   1.1277057e-03
-2.0356846e+00   1.2553543e-03   1.2553543e-03   1.2553543e-03   1.2553543e-03   1.2553543e-03   1.2553543e-03
-2.031328e+00   1.3830027e-03   1.3830027e-03   1.3830027e-03   1.3830027e-03   1.3830027e-03   1.3830027e-03
