# Neutrino-Ar40 nc cross section (10^-38 cm^2/GeV, natural abundance) # 
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar # 

-5.2673492e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00   0.e+00
-5.2492166e+00   -2.3537137e-05   -2.3537137e-05   -2.3537137e-05   -2.3537137e-05   -2.3537137e-05   -2.3537137e-05
-5.231406e+00   -4.7074274e-05   -4.7074274e-05   -4.7074274e-05   -4.7074274e-05   -4.7074274e-05   -4.7074274e-05
-5.2139077e+00   -7.0611415e-05   -7.0611415e-05   -7.0611415e-05   -7.0611415e-05   -7.0611415e-05   -7.0611415e-05
-5.1967106e+00   -9.414855e-05   -9.414855e-05   -9.414855e-05   -9.414855e-05   -9.414855e-05   -9.414855e-05
-5.179804e+00   -1.1768569e-04   -1.1768569e-04   -1.1768569e-04   -1.1768569e-04   -1.1768569e-04   -1.1768569e-04
-5.1631784e+00   -1.4122283e-04   -1.4122283e-04   -1.4122283e-04   -1.4122283e-04   -1.4122283e-04   -1.4122283e-04
-5.1468244e+00   -1.6475997e-04   -1.6475997e-04   -1.6475997e-04   -1.6475997e-04   -1.6475997e-04   -1.6475997e-04
-5.130734e+00   -1.882971e-04   -1.882971e-04   -1.882971e-04   -1.882971e-04   -1.882971e-04   -1.882971e-04
-5.114898e+00   -2.1183424e-04   -2.1183424e-04   -2.1183424e-04   -2.1183424e-04   -2.1183424e-04   -2.1183424e-04
-5.0993094e+00   -1.5741016e-04   -1.5741016e-04   -1.5741016e-04   -1.5741016e-04   -1.5741016e-04   -1.5741016e-04
-5.08396e+00   5.5355842e-05   5.5355842e-05   5.5355842e-05   5.5355842e-05   5.5355842e-05   5.5355842e-05
-5.0688424e+00   2.6812183e-04   2.6812183e-04   2.6812183e-04   2.6812183e-04   2.6812183e-04   2.6812183e-04
-5.05395e+00   4.8088786e-04   4.8088786e-04   4.8088786e-04   4.8088786e-04   4.8088786e-04   4.8088786e-04
-5.039276e+00   6.936538e-04   6.936538e-04   6.936538e-04   6.936538e-04   6.936538e-04   6.936538e-04
-5.0248146e+00   9.064199e-04   9.064199e-04   9.064199e-04   9.064199e-04   9.064199e-04   9.064199e-04
-5.010559e+00   1.1191858e-03   1.1191858e-03   1.1191858e-03   1.1191858e-03   1.1191858e-03   1.1191858e-03
-4.996504e+00   1.3319518e-03   1.3319518e-03   1.3319518e-03   1.3319518e-03   1.3319518e-03   1.3319518e-03
-4.9826436e+00   1.5447178e-03   1.5447178e-03   1.5447178e-03   1.5447178e-03   1.5447178e-03   1.5447178e-03
-4.9689727e+00   1.7574839e-03   1.7574839e-03   1.7574839e-03   1.7574839e-03   1.7574839e-03   1.7574839e-03
-4.9554863e+00   1.97025e-03   1.97025e-03   1.97025e-03   1.97025e-03   1.97025e-03   1.97025e-03
-4.942179e+00   2.183016e-03   2.183016e-03   2.183016e-03   2.183016e-03   2.183016e-03   2.183016e-03
-4.929047e+00   2.395782e-03   2.395782e-03   2.395782e-03   2.395782e-03   2.395782e-03   2.395782e-03
-4.9160852e+00   2.608548e-03   2.608548e-03   2.608548e-03   2.608548e-03   2.608548e-03   2.608548e-03
-4.903289e+00   2.821314e-03   2.821314e-03   2.821314e-03   2.821314e-03   2.821314e-03   2.821314e-03
-4.8906546e+00   3.03408e-03   3.03408e-03   3.03408e-03   3.03408e-03   3.03408e-03   3.03408e-03
-4.8781776e+00   3.246846e-03   3.246846e-03   3.246846e-03   3.246846e-03   3.246846e-03   3.246846e-03
-4.8658547e+00   3.459612e-03   3.459612e-03   3.459612e-03   3.459612e-03   3.459612e-03   3.459612e-03
-4.8536816e+00   3.640555e-03   3.640555e-03   3.640555e-03   3.640555e-03   3.640555e-03   3.640555e-03
-4.841655e+00   3.6035688e-03   3.6035688e-03   3.6035688e-03   3.6035688e-03   3.6035688e-03   3.6035688e-03
-4.829771e+00   3.5665825e-03   3.5665825e-03   3.5665825e-03   3.5665825e-03   3.5665825e-03   3.5665825e-03
-4.818027e+00   3.5295961e-03   3.5295961e-03   3.5295961e-03   3.5295961e-03   3.5295961e-03   3.5295961e-03
-4.806419e+00   3.4926098e-03   3.4926098e-03   3.4926098e-03   3.4926098e-03   3.4926098e-03   3.4926098e-03
-4.7949443e+00   3.4556235e-03   3.4556235e-03   3.4556235e-03   3.4556235e-03   3.4556235e-03   3.4556235e-03
-4.7836e+00   3.4186372e-03   3.4186372e-03   3.4186372e-03   3.4186372e-03   3.4186372e-03   3.4186372e-03
-4.7723827e+00   3.381651e-03   3.381651e-03   3.381651e-03   3.381651e-03   3.381651e-03   3.381651e-03
-4.76129e+00   3.3446646e-03   3.3446646e-03   3.3446646e-03   3.3446646e-03   3.3446646e-03   3.3446646e-03
-4.750319e+00   3.3076783e-03   3.3076783e-03   3.3076783e-03   3.3076783e-03   3.3076783e-03   3.3076783e-03
-4.739467e+00   3.270692e-03   3.270692e-03   3.270692e-03   3.270692e-03   3.270692e-03   3.270692e-03
-4.7287316e+00   3.2337056e-03   3.2337056e-03   3.2337056e-03   3.2337056e-03   3.2337056e-03   3.2337056e-03
-4.71811e+00   3.1967193e-03   3.1967193e-03   3.1967193e-03   3.1967193e-03   3.1967193e-03   3.1967193e-03
-4.7076e+00   3.1597328e-03   3.1597328e-03   3.1597328e-03   3.1597328e-03   3.1597328e-03   3.1597328e-03
-4.6971993e+00   3.1227465e-03   3.1227465e-03   3.1227465e-03   3.1227465e-03   3.1227465e-03   3.1227465e-03
-4.686906e+00   3.0857602e-03   3.0857602e-03   3.0857602e-03   3.0857602e-03   3.0857602e-03   3.0857602e-03
-4.6767173e+00   3.0487739e-03   3.0487739e-03   3.0487739e-03   3.0487739e-03   3.0487739e-03   3.0487739e-03
-4.6666317e+00   3.0117875e-03   3.0117875e-03   3.0117875e-03   3.0117875e-03   3.0117875e-03   3.0117875e-03
-4.6566463e+00   2.9748012e-03   2.9748012e-03   2.9748012e-03   2.9748012e-03   2.9748012e-03   2.9748012e-03
-4.64676e+00   2.937815e-03   2.937815e-03   2.937815e-03   2.937815e-03   2.937815e-03   2.937815e-03
-4.6369705e+00   2.9008286e-03   2.9008286e-03   2.9008286e-03   2.9008286e-03   2.9008286e-03   2.9008286e-03
-4.6272755e+00   2.8638423e-03   2.8638423e-03   2.8638423e-03   2.8638423e-03   2.8638423e-03   2.8638423e-03
-4.617674e+00   2.826856e-03   2.826856e-03   2.826856e-03   2.826856e-03   2.826856e-03   2.826856e-03
-4.608164e+00   2.860509e-03   2.860509e-03   2.860509e-03   2.860509e-03   2.860509e-03   2.860509e-03
-4.598743e+00   2.898423e-03   2.898423e-03   2.898423e-03   2.898423e-03   2.898423e-03   2.898423e-03
-4.5894103e+00   2.9363367e-03   2.9363367e-03   2.9363367e-03   2.9363367e-03   2.9363367e-03   2.9363367e-03
-4.5801635e+00   2.9742504e-03   2.9742504e-03   2.9742504e-03   2.9742504e-03   2.9742504e-03   2.9742504e-03
-4.571002e+00   3.012164e-03   3.012164e-03   3.012164e-03   3.012164e-03   3.012164e-03   3.012164e-03
-4.561923e+00   3.0500777e-03   3.0500777e-03   3.0500777e-03   3.0500777e-03   3.0500777e-03   3.0500777e-03
-4.552926e+00   3.0879914e-03   3.0879914e-03   3.0879914e-03   3.0879914e-03   3.0879914e-03   3.0879914e-03
-4.5440097e+00   3.125905e-03   3.125905e-03   3.125905e-03   3.125905e-03   3.125905e-03   3.125905e-03
-4.5351715e+00   3.1638187e-03   3.1638187e-03   3.1638187e-03   3.1638187e-03   3.1638187e-03   3.1638187e-03
-4.526411e+00   3.2017324e-03   3.2017324e-03   3.2017324e-03   3.2017324e-03   3.2017324e-03   3.2017324e-03
-4.517727e+00   3.239646e-03   3.239646e-03   3.239646e-03   3.239646e-03   3.239646e-03   3.239646e-03
-4.509117e+00   3.2775598e-03   3.2775598e-03   3.2775598e-03   3.2775598e-03   3.2775598e-03   3.2775598e-03
-4.500581e+00   3.3154734e-03   3.3154734e-03   3.3154734e-03   3.3154734e-03   3.3154734e-03   3.3154734e-03
-4.492117e+00   3.3533874e-03   3.3533874e-03   3.3533874e-03   3.3533874e-03   3.3533874e-03   3.3533874e-03
-4.483724e+00   3.391301e-03   3.391301e-03   3.391301e-03   3.391301e-03   3.391301e-03   3.391301e-03
-4.4754014e+00   3.4292147e-03   3.4292147e-03   3.4292147e-03   3.4292147e-03   3.4292147e-03   3.4292147e-03
-4.467147e+00   3.4671284e-03   3.4671284e-03   3.4671284e-03   3.4671284e-03   3.4671284e-03   3.4671284e-03
-4.45896e+00   3.505042e-03   3.505042e-03   3.505042e-03   3.505042e-03   3.505042e-03   3.505042e-03
-4.45084e+00   3.5429557e-03   3.5429557e-03   3.5429557e-03   3.5429557e-03   3.5429557e-03   3.5429557e-03
-4.4427853e+00   3.5808694e-03   3.5808694e-03   3.5808694e-03   3.5808694e-03   3.5808694e-03   3.5808694e-03
-4.4347944e+00   3.618783e-03   3.618783e-03   3.618783e-03   3.618783e-03   3.618783e-03   3.618783e-03
-4.4268675e+00   3.6566968e-03   3.6566968e-03   3.6566968e-03   3.6566968e-03   3.6566968e-03   3.6566968e-03
-4.4190025e+00   3.6946104e-03   3.6946104e-03   3.6946104e-03   3.6946104e-03   3.6946104e-03   3.6946104e-03
-4.411199e+00   3.732524e-03   3.732524e-03   3.732524e-03   3.732524e-03   3.732524e-03   3.732524e-03
-4.403456e+00   3.770438e-03   3.770438e-03   3.770438e-03   3.770438e-03   3.770438e-03   3.770438e-03
-4.395773e+00   3.8083517e-03   3.8083517e-03   3.8083517e-03   3.8083517e-03   3.8083517e-03   3.8083517e-03
-4.388148e+00   3.8462654e-03   3.8462654e-03   3.8462654e-03   3.8462654e-03   3.8462654e-03   3.8462654e-03
-4.3805804e+00   3.884179e-03   3.884179e-03   3.884179e-03   3.884179e-03   3.884179e-03   3.884179e-03
-4.3730702e+00   3.9220927e-03   3.9220927e-03   3.9220927e-03   3.9220927e-03   3.9220927e-03   3.9220927e-03
-4.365616e+00   3.9600064e-03   3.9600064e-03   3.9600064e-03   3.9600064e-03   3.9600064e-03   3.9600064e-03
-4.358217e+00   3.99792e-03   3.99792e-03   3.99792e-03   3.99792e-03   3.99792e-03   3.99792e-03
-4.3508716e+00   4.0358338e-03   4.0358338e-03   4.0358338e-03   4.0358338e-03   4.0358338e-03   4.0358338e-03
-4.3435802e+00   4.0737474e-03   4.0737474e-03   4.0737474e-03   4.0737474e-03   4.0737474e-03   4.0737474e-03
-4.336342e+00   4.111661e-03   4.111661e-03   4.111661e-03   4.111661e-03   4.111661e-03   4.111661e-03
-4.3291554e+00   4.149575e-03   4.149575e-03   4.149575e-03   4.149575e-03   4.149575e-03   4.149575e-03
-4.32202e+00   4.1874885e-03   4.1874885e-03   4.1874885e-03   4.1874885e-03   4.1874885e-03   4.1874885e-03
-4.314935e+00   4.225402e-03   4.225402e-03   4.225402e-03   4.225402e-03   4.225402e-03   4.225402e-03
-4.3079004e+00   4.263316e-03   4.263316e-03   4.263316e-03   4.263316e-03   4.263316e-03   4.263316e-03
-4.300915e+00   4.3012295e-03   4.3012295e-03   4.3012295e-03   4.3012295e-03   4.3012295e-03   4.3012295e-03
-4.2939773e+00   4.339143e-03   4.339143e-03   4.339143e-03   4.339143e-03   4.339143e-03   4.339143e-03
-4.287088e+00   4.3770573e-03   4.3770573e-03   4.3770573e-03   4.3770573e-03   4.3770573e-03   4.3770573e-03
