# Neutrino-Ar40 nc cross section (10^-38 cm^2/GeV, natural abundance) # 
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar # 

-1.e+01   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-4.e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-3.69897e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-3.5228786e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-3.39794e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-3.30103e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-3.2218487e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-3.154902e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-3.09691e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-3.0457575e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-3.e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.9586072e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.9208188e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.8860567e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.853872e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.8239088e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.79588e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.769551e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.7447276e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.7212465e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.69897e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.6777806e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.6575773e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.638272e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.6197886e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.60206e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.5850267e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.5686362e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.552842e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.537602e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.5228786e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.5086384e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.49485e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.481486e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.468521e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.455932e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.4436975e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.4317982e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.4202163e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.4089353e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.39794e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.387216e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.3767507e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.3665316e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.3565474e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.3467875e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.3372421e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.327902e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.3187587e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.309804e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.30103e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.29243e+00   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02   -1.1553592e-02
-2.2839966e+00   -1.1058433e-02   -1.1058433e-02   -1.1058433e-02   -1.1058433e-02   -1.1058433e-02   -1.1058433e-02
-2.2757242e+00   -9.899823e-03   -9.899823e-03   -9.899823e-03   -9.899823e-03   -9.899823e-03   -9.899823e-03
-2.2676063e+00   -8.741213e-03   -8.741213e-03   -8.741213e-03   -8.741213e-03   -8.741213e-03   -8.741213e-03
-2.2596374e+00   -7.582603e-03   -7.582603e-03   -7.582603e-03   -7.582603e-03   -7.582603e-03   -7.582603e-03
-2.251812e+00   -6.423993e-03   -6.423993e-03   -6.423993e-03   -6.423993e-03   -6.423993e-03   -6.423993e-03
-2.2441251e+00   -5.265383e-03   -5.265383e-03   -5.265383e-03   -5.265383e-03   -5.265383e-03   -5.265383e-03
-2.236572e+00   -4.106773e-03   -4.106773e-03   -4.106773e-03   -4.106773e-03   -4.106773e-03   -4.106773e-03
-2.229148e+00   -2.9481628e-03   -2.9481628e-03   -2.9481628e-03   -2.9481628e-03   -2.9481628e-03   -2.9481628e-03
-2.2218487e+00   -1.7895527e-03   -1.7895527e-03   -1.7895527e-03   -1.7895527e-03   -1.7895527e-03   -1.7895527e-03
-2.2146702e+00   -6.8745867e-04   -6.8745867e-04   -6.8745867e-04   -6.8745867e-04   -6.8745867e-04   -6.8745867e-04
-2.2076082e+00   2.8386438e-04   2.8386438e-04   2.8386438e-04   2.8386438e-04   2.8386438e-04   2.8386438e-04
-2.2006595e+00   1.2551874e-03   1.2551874e-03   1.2551874e-03   1.2551874e-03   1.2551874e-03   1.2551874e-03
-2.19382e+00   2.2265106e-03   2.2265106e-03   2.2265106e-03   2.2265106e-03   2.2265106e-03   2.2265106e-03
-2.1870866e+00   3.1978337e-03   3.1978337e-03   3.1978337e-03   3.1978337e-03   3.1978337e-03   3.1978337e-03
-2.1804562e+00   4.169157e-03   4.169157e-03   4.169157e-03   4.169157e-03   4.169157e-03   4.169157e-03
-2.1739252e+00   5.1404797e-03   5.1404797e-03   5.1404797e-03   5.1404797e-03   5.1404797e-03   5.1404797e-03
-2.1674912e+00   6.1118025e-03   6.1118025e-03   6.1118025e-03   6.1118025e-03   6.1118025e-03   6.1118025e-03
-2.161151e+00   7.083126e-03   7.083126e-03   7.083126e-03   7.083126e-03   7.083126e-03   7.083126e-03
-2.154902e+00   8.054449e-03   8.054449e-03   8.054449e-03   8.054449e-03   8.054449e-03   8.054449e-03
-2.1487417e+00   9.025772e-03   9.025772e-03   9.025772e-03   9.025772e-03   9.025772e-03   9.025772e-03
-2.1426675e+00   9.997095e-03   9.997095e-03   9.997095e-03   9.997095e-03   9.997095e-03   9.997095e-03
-2.136677e+00   1.0968418e-02   1.0968418e-02   1.0968418e-02   1.0968418e-02   1.0968418e-02   1.0968418e-02
-2.1307683e+00   1.1939741e-02   1.1939741e-02   1.1939741e-02   1.1939741e-02   1.1939741e-02   1.1939741e-02
-2.1249387e+00   1.2911065e-02   1.2911065e-02   1.2911065e-02   1.2911065e-02   1.2911065e-02   1.2911065e-02
-2.1191864e+00   1.3882387e-02   1.3882387e-02   1.3882387e-02   1.3882387e-02   1.3882387e-02   1.3882387e-02
