# Neutrino-Ar40 nc cross section (10^-38 cm^2/GeV, natural abundance) # 
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar # 

-1.e+01   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-4.e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-3.69897e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-3.5228786e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-3.39794e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-3.30103e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-3.2218487e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-3.154902e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-3.09691e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-3.0457575e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-3.e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.9586072e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.9208188e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.8860567e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.853872e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.8239088e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.79588e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.769551e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.7447276e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.7212465e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.69897e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.6777806e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.6575773e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.638272e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.6197886e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.60206e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.5850267e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.5686362e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.552842e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.537602e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.5228786e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.5086384e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.49485e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.481486e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.468521e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.455932e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.4436975e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.4317982e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.4202163e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.4089353e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.39794e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.387216e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.3767507e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.3665316e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.3565474e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.3467875e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.3372421e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.327902e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.3187587e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.309804e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.30103e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.29243e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.2839966e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.2757242e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.2676063e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.2596374e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.251812e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.2441251e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.236572e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.229148e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.2218487e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.2146702e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.2076082e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.2006595e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.19382e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.1870866e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.1804562e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.1739252e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.1674912e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.161151e+00   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07   -8.2128156e-07
-2.154902e+00   -9.4681604e-07   -9.4681604e-07   -9.4681604e-07   -9.4681604e-07   -9.4681604e-07   -9.4681604e-07
-2.1487417e+00   -1.6594723e-06   -1.6594723e-06   -1.6594723e-06   -1.6594723e-06   -1.6594723e-06   -1.6594723e-06
-2.1426675e+00   -2.3721286e-06   -2.3721286e-06   -2.3721286e-06   -2.3721286e-06   -2.3721286e-06   -2.3721286e-06
-2.136677e+00   -3.0847848e-06   -3.0847848e-06   -3.0847848e-06   -3.0847848e-06   -3.0847848e-06   -3.0847848e-06
